Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
17 2022  7.70563e+06 377977 433495 27891.4 23740.2 27891.4 27891.4 23740.2 27891.4 0.0591024 0
17 2023  NA 402290 NA NA NA NA NA NA NA NA NA
18 1974  4.11868e+07 376172 883747 396271 337995 396271 396271 337995 396271 0.757443 0
18 1975  3.07574e+06 329717 1.59439e+06 494728 441560 494728 494728 441560 494728 0.928563 0
18 1976  3.12638e+06 507752 1.02081e+06 402849 425035 402849 402849 425035 402849 0.856297 0
18 1977  5.06906e+06 379033 511589 240340 267081 240340 240340 267081 240340 0.850793 0
18 1978  9.46085e+06 170169 338458 146706 144035 146706 146706 144035 146706 0.887065 0
18 1979  1.91749e+07 135885 439348 149064 149200 149064 149064 149200 149064 0.860493 0
18 1980  4.09019e+06 188245 796504 202451 210019 202451 202451 210019 202451 0.805559 0
18 1981  6.3762e+06 317024 649504 226485 232345 226485 226485 232345 226485 0.628489 0
18 1982  3.97852e+06 370638 604510 256108 224792 256108 256108 224792 256108 0.619309 0
18 1983  1.38661e+07 284064 473441 253230 235924 253230 253230 235924 253230 0.793622 0
18 1984  2.9494e+06 226012 643469 247089 257213 247089 247089 257213 247089 0.87148 0
18 1985  3.63161e+06 255876 507257 247098 268060 247098 247098 268060 247098 0.831724 0
18 1986  8.28309e+06 244633 391922 223727 193322 223727 223727 193322 223727 0.860765 0
18 1987  992031 175505 452449 194995 181825 194995 194995 181825 194995 0.930877 0
18 1988  968791 182050 328236 179974 176206 179974 179974 176206 179974 0.950566 0
18 1989  1.67614e+06 142029 188650 127719 113320 127719 127719 113320 127719 0.927498 0
18 1990  4.20755e+06 76988.2 137708 86747.9 73674.1 86747.9 86747.9 73674.1 86747.9 0.868829 0
18 1991  4.73198e+06 63536.3 204489 97264.3 90229.9 97264.3 97264.3 90229.9 97264.3 0.898581 0
18 1992  6.86094e+06 100670 295184 135185 119769 135185 135185 119769 135185 0.813571 0
18 1993  2.87452e+06 161067 426681 180218 182582 180218 180218 182582 180218 0.927393 0
18 1994  1.01255e+07 200915 388983 169436 193408 169436 169436 193408 169436 0.876221 0
18 1995  3.33571e+06 193300 518914 168928 178104 168928 168928 178104 168928 0.786161 0
18 1996  3.75225e+06 248781 494182 204683 254115 204683 204683 254115 204683 0.95226 0
18 1997  1.93306e+06 233547 390325 170009 175958 170009 170009 175958 170009 0.730842 0
18 1998  1.28552e+06 197999 305399 161929 152839 161929 161929 152839 161929 0.797068 0
18 1999  1.70453e+07 144307 206759 123489 128991 123489 123489 128991 123489 0.983816 0
18 2000  3.87299e+06 110662 586617 126823 132123 126823 126823 132123 126823 0.886582 0
18 2001  664294 342923 640025 173366 196659 173366 173366 196659 173366 0.712007 0
18 2002  772725 382673 450774 155333 206296 155333 155333 206296 155333 0.636085 0
