

Observed catches

Species:  



         2     30995    171600     35038     13754     14174     64649      5072      4251
         3     20657     16796     80164     18495     17429     12999     66385      4651
         4     11284      8187      4156     77722     11677      7402      5431     68803
         5      6078      4782      2093      1904     37295      5791      3697      2216
         6     16415      2237      1354       759       833     20830      2414      1532
         7     32978      6876       552       563       379       450      8051       840
         8       156      7254      1577       133       142       119       137      3919
         9        56        75      2473       242        78        70       176        36
        10        32        26        11       555       256       107       135        20

Yield          66967     67425     49900     46492     41304     42868     42920     46685


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0      3504      3776      1701      2615      3632      3554      1540      6813
         1      7593     27610      9374     12732      5556     17834     45286     24198
         2     20031     15630     61656     23207     24263     11844     27157     72275
         3      4690     17723      8846     54472     17121     25773     11930     13536
         4      7647      1719      5556      3228     35201      7208     14636      5768
         5     46684      5013       655      1498       925     21282      3281      8346
         6      1080     21935       451       144       522       462      7953       767
         7       962      1062     10138       367       210       378       178      4727
         8       371       434       253      1442       100        25       164        45
         9      1694       437       151       502       970        31        62        31
        10        23       894       168        30        28       165        81         5

Yield          45915     41475     42943     40861     39694     36305     38944     44128
Species: G.gurnards



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3    104086     88613    323156     42701     54515     25395     27203     40705
         4     40345     30927     63447     65727     32608     16999     14757      9971
         5     15160     11077     12556     15839     19389     12004      9677      7235
         6     21179      7746      6401      5620      3390      8906      6878      3763
         7     14810     13792      4016      3814      1149      2833      5714      3368
         8      5321      9577      5488      3528      1057       750      1177      3475
         9      1514      3591      3678      3909       788       554       522       674
        10      1977      2717      3528      4753      3522      2112      2327      2564

Yield         341457    308362    432832    242626    179361    144250    146784    150025


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3     49595     43916    125848    208401     86198     48545     50657     34408
         4     48533     24637     38470     66489    109080    116551     31577     36772
         5      9848     27924     13910     14257     16302     15019     37919     14156
         6      6120      5813     13320      4878      5509      3233      3918     11211
         7      2166      4942      1673      3034      2629      1829      1927      1572
         8      1489      1529      1281       698      1490      1269      1130       757
         9      1007      1062       344       409       457       933       796       430
        10      1268      1342       653       750       910       707       687       493

Yield         205438    205616    245308    280080    236972    195418    156418    126442


Age             1990      1991      1992      1993      1994      1995      1996      1997
